,PLAYER_ID,SEASON_ID,LEAGUE_ID,TEAM_ID,TEAM_ABBREVIATION,PLAYER_AGE,GP,GS,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,5Y,Longevity,Longevity in drafted franchise
Alaa Abdelnaby,76001,1990,00,1610612757,POR,23.0,43,0,6.744186046511628,1.2790697674418605,2.697674418604651,0.474,0.0,0.0,0.0,0.5813953488372093,1.0232558139534884,0.568,0.627906976744186,1.441860465116279,2.0697674418604652,0.27906976744186046,0.09302325581395349,0.27906976744186046,0.5116279069767442,0.9069767441860465,3.13953488372093,True,5,2
Zaid Abdul-Aziz,76002,1968,00,1610612749,MIL,23.0,29,0,28.862068965517242,4.344827586206897,11.96551724137931,0.363,0.0,0.0,0,2.3448275862068964,3.6551724137931036,0.642,0.0,0.0,13.03448275862069,1.1379310344827587,0.0,0.0,0.0,3.3793103448275863,11.03448275862069,True,10,2
Kareem Abdul-Jabbar,76003,1969,00,1610612749,MIL,23.0,82,0,43.09756097560975,11.439024390243903,22.073170731707318,0.518,0.0,0.0,0,5.914634146341464,9.060975609756097,0.653,0.0,0.0,14.512195121951219,4.109756097560975,0.0,0.0,0.0,3.451219512195122,28.79268292682927,True,20,6
Mahmoud Abdul-Rauf,51,1990,00,1610612743,DEN,22.0,67,19,22.46268656716418,6.223880597014926,15.059701492537313,0.413,0.3582089552238806,1.492537313432836,0.24,1.2537313432835822,1.462686567164179,0.857,0.5074626865671642,1.2985074626865671,1.8059701492537314,3.074626865671642,0.8208955223880597,0.05970149253731343,1.6417910447761195,2.2238805970149254,14.059701492537313,True,9,6
Tariq Abdul-Wahad,1505,1997,00,1610612758,SAC,23.0,59,16,16.25423728813559,2.440677966101695,6.0508474576271185,0.403,0.06779661016949153,0.3220338983050847,0.211,1.423728813559322,2.1186440677966103,0.672,0.7457627118644068,1.2203389830508475,1.9661016949152543,0.864406779661017,0.5932203389830508,0.22033898305084745,1.1016949152542372,1.3728813559322033,6.372881355932203,True,6,2
Shareef Abdur-Rahim,949,1996,00,1610612763,VAN,20.0,80,71,35.05,6.875,15.175,0.453,0.0875,0.3375,0.259,4.8375,6.4875,0.746,2.7,4.2375,6.9375,2.1875,0.9875,0.9875,2.8125,2.4875,18.675,True,12,5
Tom Abernethy,76005,1976,00,1610612747,LAL,23.0,70,0,19.685714285714287,2.414285714285714,4.985714285714286,0.484,0.0,0.0,0,1.4428571428571428,1.9142857142857144,0.754,1.6142857142857143,2.5428571428571427,4.1571428571428575,1.4,0.7,0.14285714285714285,0.0,1.6857142857142857,6.271428571428571,True,5,2
Forest Able,76006,1956,00,1610612755,SYR,24.0,1,0,1.0,0.0,2.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,False,1,1
John Abramovic,76007,1946,00,1610610031,PIT,28.0,47,0,0.0,4.297872340425532,17.74468085106383,0.242,0.0,0.0,0,2.617021276595745,3.7872340425531914,0.691,0.0,0.0,0.0,0.7446808510638298,0.0,0.0,0.0,3.425531914893617,11.212765957446809,False,2,1
Alex Abrines,203518,2016,00,1610612760,OKC,23.0,68,6,15.514705882352942,1.9705882352941178,5.014705882352941,0.393,1.3823529411764706,3.6323529411764706,0.381,0.6470588235294118,0.7205882352941176,0.898,0.2647058823529412,1.0,1.2647058823529411,0.5882352941176471,0.5441176470588235,0.11764705882352941,0.4852941176470588,1.6764705882352942,5.970588235294118,False,3,3
Precious Achiuwa,1630173,2020,00,1610612748,MIA,21.0,61,4,12.081967213114755,2.0327868852459017,3.737704918032787,0.544,0.0,0.01639344262295082,0.0,0.9180327868852459,1.8032786885245902,0.509,1.1967213114754098,2.2131147540983607,3.4098360655737703,0.47540983606557374,0.32786885245901637,0.45901639344262296,0.7049180327868853,1.4918032786885247,4.983606557377049,False,4,1
Alex Acker,101165,2005,00,1610612765,DET,23.0,5,0,7.0,0.8,3.2,0.25,0.2,1.0,0.2,0.0,0.0,0.0,0.2,0.8,1.0,0.8,0.2,0.0,0.8,0.8,1.8,False,2,2
